"Category","Tag","Rank","Page","Wall_ID","Fans","PTA"
"brands","travel","94","POUSADAS DE PORTUGAL","29906138396","192271","9639"
"brands","travel","95","Tatil Sepeti","116055661785090","189696","3374"
"brands","travel","96","Arke","196471775718","188872","8097"
"brands","travel","97","Accorhotels","133548153355256","187813","2988"
"brands","travel","98","Expedia.com.au","116721438394609","187228","6490"
"brands","travel","99","Du lịch giá rẻ - Alêhấp","139657963661","187147","9553"
"brands","travel","100","Discover Ireland GB","298041277182","186347","20948"
"brands","travel","101","30A","55713447392","185929","18939"
"brands","travel","102","Makati Shangri-La, Manila","33959144264","182912","3021"
"brands","travel","103","Viajes Falabella Argentina","374237283272","182003","9346"
"brands","travel","104","Buquebus","226129734525","178464","11669"
"brands","travel","105","Club Med","116589215536","177599","2310"
"brands","travel","106","Carré Sénart","58306820019","176410","5866"
"brands","travel","107","Portugal Dream Coast: Yours in…","132244686806756","175350","5394"
"brands","travel","108","El Salvador Turismo","118443912617","175013","7846"
"brands","travel","109","STA Travel UK","11409046607","172952","1885"
"brands","travel","110","Atlantis The Palm, Dubai","118276938202344","172587","14378"
"brands","travel","111","Paris Tourisme","182309757304","172203","7104"
"brands","travel","112","Travel Club: Consigue más por tu…","122047895080","171055","3465"
"brands","travel","113","Viator_Español","270743326271298","170304","4817"
"brands","travel","114","Mazagan Beach Resort","161980542204","169125","1691"
"brands","travel","115","TUI India","120413401380664","166806","648"
"brands","travel","116","Visit Gold Coast, Queensland,…","166347923376082","166053","19284"
"brands","travel","117","Resorts World Genting","180512280998","165731","2019"
"brands","travel","118","P&amp;O Cruises Australia","121528936186","165710","4757"
"brands","travel","119","Garuda Indonesia","277932982321431","160542","10523"
"brands","travel","120","Odisseias","61765311535","158265","2967"
"brands","travel","121","Western Australia","126364227424588","157806","16187"
"brands","travel","122","Efteling","28215638853","157804","8938"
"brands","travel","123","CI Intercâmbio","105542972825324","156347","7226"
"brands","travel","124","Star Tour","170971906252625","156261","1208"
"brands","travel","125","Holy Land Pilgrimage","135293909873262","156165","9115"
"brands","travel","126","Four Seasons Hotels and Resorts","106280431030","155202","9867"
"brands","travel","127","The Venetian Las Vegas","60819653094","155112","8114"
"brands","travel","128","First Choice Holidays","291292810297","154845","2591"
"brands","travel","129","Jetsetter","270352050360","153627","5234"
"brands","travel","130","Centro Histórico de la Ciudad de…","417108524986574","153378","12639"
"brands","travel","131","Decameron El Salvador","115141795171336","153147","3778"
"brands","travel","132","Aurinkomatkat","313183945791","151933","1495"
"brands","travel","133","Op reis gaan","304922896194118","149309","1959"
"brands","travel","134","Paradisus Resorts","284644131984","149276","1238"
"brands","travel","135","Ving Norge AS","59893740921","148274","5120"
"brands","travel","136","Vingresor - Ving Sverige AB","36497161225","148032","4703"
"brands","travel","137","Buquebus Uruguay","198509336865264","146616","3094"
"brands","travel","138","Center Parcs","219271481446","146598","1357"
"brands","travel","139","Choice Hotels","45496659568","146269","2927"
"brands","travel","140","Den Norske Turistforening (DNT)","193026981970","145470","5612"
"brands","travel","141","Viajar Ficou Fácil","113044712186300","144104","1693"
"brands","travel","142","Star Tour Norge","10126511156","143257","5522"
